,vol_forecast,actual_vol,vol_error,vol_error_pct,vol_error_abs
2024-12-09 05:00:00+00:00,4.563244325427558,0.18340950328241712,-4.379834822145141,-2388.0086602715432,4.379834822145141
2024-12-10 05:00:00+00:00,0.4643265722802914,3.5504330035538607,3.0861064312735693,86.92197340956676,3.0861064312735693
2024-12-11 05:00:00+00:00,2.4633758863789956,7.220512772832419,4.757136886453424,65.88364339375474,4.757136886453424
2024-12-12 05:00:00+00:00,5.174401385316518,1.983646304240267,-3.190755081076251,-160.8530247683598,3.190755081076251
2024-12-13 05:00:00+00:00,1.5379982511924644,5.320191781662096,3.782193530469632,71.09130057127426,3.782193530469632
2024-12-16 05:00:00+00:00,3.8276109387518455,7.469830277714595,3.6422193389627497,48.759064176182214,3.6422193389627497
2024-12-17 05:00:00+00:00,5.107746538897652,4.477357596537716,-0.6303889423599367,-14.079486142616988,0.6303889423599367
2024-12-18 05:00:00+00:00,3.217799974984084,10.831674294543207,7.613874319559123,70.29268156073387,7.613874319559123
2024-12-19 05:00:00+00:00,7.486678326443465,1.1327531139497,-6.353925212493765,-560.9276314711514,6.353925212493765
2024-12-20 05:00:00+00:00,0.8572581223690843,4.418776349495705,3.56151822712662,80.59964898502004,3.56151822712662
2024-12-23 05:00:00+00:00,3.075002512584973,2.807955522451686,-0.26704699013328703,-9.510371086651778,0.26704699013328703
2024-12-24 05:00:00+00:00,1.8687179641301257,8.897425350046065,7.02870738591594,78.99709308468151,7.02870738591594
2024-12-26 05:00:00+00:00,6.160715232380188,2.229303374935242,-3.9314118574449455,-176.35158595492402,3.9314118574449455
2024-12-27 05:00:00+00:00,1.5967425117597067,6.3599750925482885,4.763232580788582,74.89388734194036,4.763232580788582
2024-12-30 05:00:00+00:00,4.459307513530912,4.2072864659416,-0.2520210475893121,-5.9901090555503504,0.2520210475893121
2024-12-31 05:00:00+00:00,2.7999715060869135,4.1422273222429284,1.342255816156015,32.40420459177532,1.342255816156015
2025-01-02 05:00:00+00:00,2.79992154745334,7.863799401732385,5.0638778542790455,64.39479945487265,5.0638778542790455
2025-01-03 05:00:00+00:00,5.5033552351090655,9.895546333256224,4.392191098147158,44.385534160819454,4.392191098147158
2025-01-06 05:00:00+00:00,6.837161190933639,0.1861305102381889,-6.65103068069545,-3573.315665542531,6.65103068069545
2025-01-07 05:00:00+00:00,0.166245814320457,5.195070305608171,5.028824491287714,96.79993138608745,5.028824491287714
2025-01-08 05:00:00+00:00,3.6264795715473435,0.18419417977509497,-3.4422853917722485,-1868.8350500408603,3.4422853917722485
2025-01-10 05:00:00+00:00,0.16414039414338927,0.06348466032382415,-0.10065573381956512,-158.55126782775213,0.10065573381956512
2025-01-13 05:00:00+00:00,0.19593839285595427,2.691890248131426,2.4959518552754716,92.72115967610623,2.4959518552754716
2025-01-14 05:00:00+00:00,1.755963111874512,2.178586812279013,0.42262370040450103,19.398983690826423,0.42262370040450103
2025-01-15 05:00:00+00:00,1.494103289589537,9.689897112752199,8.195793823162662,84.5808136845617,8.195793823162662
2025-01-16 05:00:00+00:00,6.789044211147616,4.287084525781112,-2.5019596853665043,-58.36040018153466,2.5019596853665043
2025-01-17 05:00:00+00:00,2.877426076458212,3.7826612699598217,0.9052351935016096,23.931172497272662,0.9052351935016096
2025-01-21 05:00:00+00:00,2.633054509490618,0.7161225153892727,-1.9169319941013454,-267.6821288127398,1.9169319941013454
2025-01-22 05:00:00+00:00,0.519310300909384,2.6764511615713764,2.1571408606619924,80.59705671578588,2.1571408606619924
2025-01-23 05:00:00+00:00,1.8892678557569431,0.826973137717365,-1.062294718039578,-128.45577076079576,1.062294718039578
2025-01-24 05:00:00+00:00,0.7042115007029799,1.7752621700560083,1.0710506693530284,60.331971661359596,1.0710506693530284
2025-01-27 05:00:00+00:00,1.1078422448013918,2.941110740401319,1.8332684955999272,62.332521874024195,1.8332684955999272
2025-01-28 05:00:00+00:00,2.028799224686165,0.2962918962238904,-1.7325073284622747,-584.7299067380231,1.7325073284622747
2025-01-29 05:00:00+00:00,0.19280001637514696,2.8627863610406536,2.6699863446655066,93.26530197995416,2.6699863446655066
2025-01-30 05:00:00+00:00,2.1066455210123505,3.550378541382287,1.4437330203699363,40.66419970552887,1.4437330203699363
2025-01-31 05:00:00+00:00,2.436280444846429,1.3453854152270228,-1.0908950296194062,-81.08420213811569,1.0908950296194062
2025-02-03 05:00:00+00:00,0.9415433950866702,6.65385138434991,5.712307989263239,85.84964796025933,5.712307989263239
2025-02-04 05:00:00+00:00,4.694423995411133,2.755854652862461,-1.9385693425486719,-70.34367144635556,1.9385693425486719
2025-02-05 05:00:00+00:00,1.9382553384774432,4.568778800178596,2.630523461701153,57.57607397404148,2.630523461701153
2025-02-06 05:00:00+00:00,3.273881007302123,1.2824892112700514,-1.9913917960320717,-155.27552033439665,1.9913917960320717
2025-02-07 05:00:00+00:00,1.0288265420035567,4.326078173541862,3.297251631538305,76.21803165056464,3.297251631538305
2025-02-10 05:00:00+00:00,2.956453504632996,3.8322887217422004,0.8758352171092043,22.854103140512862,0.8758352171092043
2025-02-11 05:00:00+00:00,2.7377629658553,8.206683269605247,5.468920303749947,66.63983638804437,5.468920303749947
2025-02-12 05:00:00+00:00,5.6191957900403215,3.019362647691162,-2.5998331423491594,-86.1053621477762,2.5998331423491594
2025-02-13 05:00:00+00:00,2.0406518082338185,7.035392556050104,4.9947407478162855,70.99448549635011,4.9947407478162855
2025-02-14 05:00:00+00:00,4.898210153185074,0.0352163349788371,-4.862993818206237,-13808.915155789506,4.862993818206237
