,price_forecast,vol_forecast,actual_price,actual_return,realized_vol,price_error,price_error_pct,vol_error
2024-12-09 05:00:00+00:00,176.02035201652862,1.5521960453039174,176.68,0.4595100980052891,1.0484013807386567,0.6596479834713875,0.37335747309904205,-0.5037946645652607
2024-12-10 05:00:00+00:00,176.83104448899914,1.4253449260677167,186.09,5.189024092481009,2.4553842577548526,9.258955511000863,4.975525558063767,1.030039331687136
2024-12-11 05:00:00+00:00,186.249089138317,2.066744523630184,196.24,5.310797229709774,2.886814064885286,9.990910861683005,5.091169415859664,0.8200695412551018
2024-12-12 05:00:00+00:00,196.40776641680546,2.3652253626566675,193.17,-1.57677697320322,3.2725408279243466,-3.2377664168054707,-1.6761228020942542,0.9073154652676791
2024-12-13 05:00:00+00:00,193.3351418606518,2.4938264415633964,190.93,-1.1663761492828328,3.3074550788335606,-2.4051418606517814,-1.2596982457716341,0.8136286372701642
2024-12-16 05:00:00+00:00,191.09322687505437,2.5105784313306874,197.69,3.4793278482472267,3.427968216363964,6.596773124945628,3.3369280818178098,0.9173897850332766
2024-12-17 05:00:00+00:00,197.87867458342743,2.6736993385265664,196.65,-0.5274648330026999,2.9401872472555066,-1.22867458342742,-0.6248027375679736,0.26648790872894024
2024-12-18 05:00:00+00:00,196.83768201138653,2.4302335503939343,189.7,-3.598162193685006,2.866716975804427,-7.137682011386545,-3.762615715016629,0.43648342541049256
2024-12-19 05:00:00+00:00,189.881048957844,2.586636345477407,189.25,-0.23749846234100147,2.5425610152127187,-0.6310489578440013,-0.3334472696665792,-0.04407533026468835
2024-12-20 05:00:00+00:00,189.43061947955707,2.434221065422539,192.5,1.7027261410280659,2.503855272876323,3.069380520442934,1.5944833872430824,0.06963420745378412
2024-12-23 05:00:00+00:00,192.68372126718486,2.3374791403360313,195.53,1.5617666610344472,2.051982819199167,2.8462787328151364,1.455673672999098,-0.2854963211368644
2024-12-24 05:00:00+00:00,195.71661308765016,2.1925227829123877,197.1,0.7997393820490473,1.9146136885367442,1.3833869123498346,0.70187057957881,-0.2779090943756435
2024-12-26 05:00:00+00:00,197.2865916757909,2.092564939697949,196.63,-0.23874239872085923,1.1340426843634328,-0.6565916757909065,-0.33392243085536616,-0.9585222553345163
2024-12-27 05:00:00+00:00,196.8161467336924,1.8810725168029343,193.58,-1.563292645052261,1.4391551190154517,-3.2361467336923795,-1.6717360955121288,-0.4419173977874826
2024-12-30 05:00:00+00:00,193.7632593434785,1.9463576022731757,192.23,-0.6998291956174185,1.1603979156065052,-1.5332593434785053,-0.7976170959155726,-0.7859596866666705
2024-12-31 05:00:00+00:00,192.4119813183018,1.8565410687343424,189.99,-1.1721132568320414,0.9548276219655913,-2.421981318301789,-1.27479410405905,-0.9017134467687511
2025-01-02 05:00:00+00:00,190.1698607431939,1.6714404217192396,190.18,0.09995529148500992,0.768721224932291,0.010139256806098729,0.005331400150435759,-0.9027191967869486
2025-01-03 05:00:00+00:00,190.36004061340395,1.5665987088126379,192.67,1.300788878137027,1.1705472929630345,2.3099593865960344,1.198920115532275,-0.39605141584960335
2025-01-06 05:00:00+00:00,192.84757914842126,1.690006767060408,197.49,2.470906925522609,1.4964127360225228,4.642420851578748,2.350711859627702,-0.1935940310378852
