,price_forecast,vol_forecast,actual_price,actual_return,realized_vol,price_error,price_error_pct,vol_error
2025-03-19 04:00:00+00:00,212.4308184019248,1.7666630218019415,214.97,1.1885961176252735,2.378928222102655,2.539181598075203,1.181179512525098,0.6122652003007136
2025-03-20 04:00:00+00:00,214.97082818745832,1.7666630218019415,213.84,-0.5270411677381404,1.8663215756918476,-1.1308281874583201,-0.5288197659270109,0.09965855388990619
2025-03-21 04:00:00+00:00,213.84082383405166,1.7666630218019415,218.0,1.9266990958425545,1.841683350312938,4.159176165948338,1.9078789752056595,0.07502032851099649
2025-03-24 04:00:00+00:00,218.00083986075228,1.7666630218019415,220.46,1.1221209746080874,1.0240847217140387,2.4591601392477287,1.1154677216945155,-0.7425783000879027
2025-03-25 04:00:00+00:00,220.46084933808004,1.7666630218019415,223.47,1.3560904321124667,0.9825806837607594,3.0091506619199606,1.3465568809772948,-0.7840823380411821
2025-03-26 04:00:00+00:00,223.47086093432253,1.7666630218019415,221.26,-0.9938696249530032,1.0833436113397505,-2.2108609343225396,-0.9992140171393562,-0.6833194104621909
2025-03-27 04:00:00+00:00,221.30901716738876,1.5965476731606194,223.57,1.0386083515403044,1.0966213853062896,2.2609828326112336,1.011308687485456,-0.4999262878543298
2025-03-28 04:00:00+00:00,223.61952891671837,1.5965476731606194,217.63,-2.6928190996192036,1.5623939879232434,-5.9895289167183705,-2.7521614284420215,-0.03415368523737605
2025-03-31 04:00:00+00:00,217.67821298987081,1.5965476731606194,221.86,1.9250179184537863,1.7668143609308187,4.181787010129199,1.8848765032584505,0.17026668777019927
2025-04-01 04:00:00+00:00,221.90915008929258,1.5965476731606194,222.92,0.4766410390822706,1.6143740286993538,1.0108499107074067,0.4534585998149142,0.01782635553873435
2025-04-02 04:00:00+00:00,222.96938491798926,1.5965476731606194,223.61,0.30905002987182684,1.49462392164902,0.6406150820107541,0.2864876713969653,-0.10192375151159938
2025-04-03 04:00:00+00:00,223.65953777817865,1.5965476731606194,202.94,-9.699309414911728,3.79267552960583,-20.719537778178648,-10.209686497574971,2.1961278564452105
