Date,Open,High,Low,Close,Volume,Name
2023-04-28,21.8829,21.8829,21.8829,21.8829,550,UBR
2023-05-01,21.466,21.69,21.46,21.69,819,UBR
2023-05-02,21.2,21.2,20.3651,20.4888,1527,UBR
2023-05-03,20.79,20.8748,20.79,20.8748,440,UBR
2023-05-04,20.56,21.02,20.56,21.0103,640,UBR
2023-05-05,22.6,22.6,22.6,22.6,575,UBR
2023-05-08,22.73,22.73,22.41,22.41,2398,UBR
2023-05-09,23.08,23.08,23.0378,23.0378,487,UBR
2023-05-10,23.43,23.5077,23.1,23.5077,613,UBR
2023-05-11,23.0301,24.08,23.0301,23.803,387,UBR
2023-05-12,24.14,24.1612,24.13,24.1612,12869,UBR
2023-05-15,24.12,24.79,24.12,24.769,1175,UBR
2023-05-16,25,25.12,23.8153,23.8153,2284,UBR
2023-05-17,24.0401,24.57,24.0401,24.57,421,UBR
2023-05-18,24.3761,24.3761,24.3761,24.3761,171,UBR
2023-05-19,24.26,24.2906,24.26,24.2906,1589,UBR
2023-05-22,24.47,24.61,24.3019,24.3019,751,UBR
2023-05-23,24.65,24.65,24.194,24.194,304,UBR
2023-05-24,23.8207,23.8207,23.8207,23.8207,387,UBR
2023-05-25,23.8367,23.95,23.515,23.5455,1948,UBR
2023-05-26,24.3329,24.3329,24.3329,24.3329,277,UBR
2023-05-30,22.6697,23.068,22.571,23.0333,27978,UBR
2023-05-31,22.539,22.539,22.539,22.539,4,UBR
2023-06-01,23.58,23.8677,23.58,23.8677,265,UBR
2023-06-02,25.3,25.3102,25.1927,25.3102,2086,UBR
2023-06-05,25.1896,25.65,25.1896,25.6139,1062,UBR
2023-06-06,26.13,26.61,26.13,26.5916,1806,UBR
2023-06-07,27.2149,27.22,26.918,26.918,796,UBR
2023-06-08,27.3279,27.3279,27.3279,27.3279,188,UBR
2023-06-09,27.6637,28.31,27.6637,28.31,3181,UBR
2023-06-12,27.9499,28.5518,27.9499,28.5518,885,UBR
2023-06-13,28.52,28.73,28.24,28.24,1232,UBR
2023-06-14,28.46,29.8,28.46,29.78,3626,UBR
2023-06-15,30.19,30.2,29.89,30.2,2893,UBR
2023-06-16,29.7607,29.8,29.6349,29.6349,1845,UBR
2023-06-20,30.17,30.3,29.9752,30.2,2763,UBR
2023-06-21,30.7907,31.1304,30.7907,31.0733,3297,UBR
2023-06-22,30.86,30.86,29.88,30.36,1825,UBR
2023-06-23,30.12,30.2,30.0055,30.15,3158,UBR
2023-06-26,29.87,30.27,29.87,30.27,869,UBR
2023-06-27,29.3665,29.385,29.3665,29.385,712,UBR
2023-06-28,28.37,28.57,28.2941,28.2941,1169,UBR
2023-06-29,28.51,29.26,28.51,29.26,4823,UBR
2023-06-30,29.6204,29.7901,29.6204,29.6604,862,UBR
2023-07-03,30.02,30.43,30.02,30.3285,989,UBR
2023-07-05,29.4871,29.4871,29.4871,29.4871,627,UBR
2023-07-06,27.62,27.62,27.48,27.61,1788,UBR
2023-07-07,28.8199,28.8246,28.8199,28.8246,623,UBR
2023-07-10,28.4237,28.43,28.1837,28.1837,1396,UBR
2023-07-11,27.74,28.1886,26.51,28.1886,4575,UBR
2023-07-12,29.3201,29.4799,28.8467,28.8467,1959,UBR
2023-07-13,30,30,29.91,29.9351,2533,UBR
2023-07-14,29.71,29.71,29.1155,29.1155,873,UBR
2023-07-17,29.2149,29.2149,29.2149,29.2149,327,UBR
2023-07-18,28.989,29.036,28.9476,29.036,710,UBR
2023-07-19,29.145,29.145,28.9599,29.1244,859,UBR
2023-07-20,29.56,29.56,28.9301,29.2523,1004,UBR
2023-07-21,30.24,30.7501,30.24,30.6016,2009,UBR
2023-07-24,31.0399,32.01,30.9607,31.7027,5442,UBR
